gender,education,age,ACT,SATV,SATQ
2,3,19,24,500,500
2,3,23,35,600,500
2,3,20,21,480,470
1,4,27,26,550,520
1,2,33,31,600,550
1,5,26,28,640,640
2,5,30,36,610,500
1,3,19,22,520,560
2,4,23,22,400,600
2,5,40,35,730,800
1,3,23,32,760,710
2,4,34,29,710,600
1,4,32,21,600,600
2,4,41,35,780,725
2,3,20,27,640,630
2,4,24,27,640,590
2,3,19,33,640,650
2,4,24,32,700,620
1,4,35,28,640,580
2,4,46,32,610,680
2,2,55,28,620,450
2,4,25,30,600,500
1,0,18,31,750,700
1,4,50,30,600,600
1,4,35,31,460,540
1,3,21,30,680,650
2,2,34,30,700,700
2,4,37,21,375,385
2,5,27,28,450,450
2,5,29,33,600,500
1,0,18,28,500,500
1,3,23,24,500,710
1,3,22,27,520,710
1,4,23,31,620,570
1,4,54,33,660,580
2,3,20,29,600,600
1,2,41,28,500,600
2,5,52,24,630,570
2,3,18,27,630,540
1,5,35,31,710,690
1,4,27,28,530,610
2,4,23,29,800,610
2,5,39,30,700,700
2,5,30,36,660,610
1,5,53,36,560,740
2,3,17,26,770,540
1,4,27,33,660,650
1,4,30,27,800,600
2,4,34,23,440,440
2,5,27,33,800,690
1,4,35,35,670,780
2,4,24,28,680,600
2,4,23,28,610,590
2,5,27,33,600,760
2,4,23,34,800,740
1,4,28,26,550,700
2,4,24,36,650,650
2,3,20,28,800,640
2,5,32,18,429,450
2,3,19,34,800,760
1,5,48,34,700,700
1,5,43,32,550,750
2,3,33,36,600,650
1,4,35,34,600,760
1,0,18,21,550,550
2,4,31,31,560,680
1,0,17,22,490,530
2,4,23,29,650,610
2,4,29,29,600,600
2,3,21,24,550,550
1,2,19,26,450,450
1,3,19,29,520,740
2,5,27,28,680,530
1,4,40,32,650,750
2,5,35,32,650,700
2,4,24,27,565,565
2,3,30,28,680,590
2,3,17,32,540,590
2,2,27,15,375,375
2,5,40,21,600,550
1,4,36,26,500,500
1,5,30,25,600,500
1,5,25,31,700,760
2,5,29,26,580,580
2,5,38,28,600,590
2,5,32,33,650,700
2,5,47,24,520,530
2,3,19,32,600,550
1,4,23,31,700,700
2,3,38,30,450,250
1,4,23,32,660,720
1,3,19,36,780,690
2,4,21,32,680,700
1,4,23,30,780,760
2,4,29,27,640,600
2,5,24,35,790,720
1,5,31,29,700,600
1,4,53,33,633,729
2,3,20,30,240,600
2,4,24,32,790,660
2,5,50,26,600,650
1,4,23,36,680,750
2,4,23,36,620,660
1,5,23,27,540,680
2,5,22,26,600,700
1,4,23,29,600,610
2,5,65,23,700,650
2,3,20,23,520,550
1,4,26,29,690,710
1,5,39,32,720,480
2,5,26,32,700,740
1,3,21,30,620,720
1,4,33,28,530,630
2,4,25,23,580,560
2,4,22,36,580,700
2,5,26,26,550,700
2,4,33,36,500,500
2,3,21,34,600,660
2,4,23,23,480,500
2,3,19,28,450,500
1,3,23,23,600,550
2,3,19,28,540,650
1,5,37,32,640,800
2,3,21,16,510,400
1,5,34,29,650,600
2,5,30,29,600,730
2,3,19,29,570,560
2,3,19,32,660,700
2,3,20,26,550,500
2,5,28,23,500,NA
1,1,45,35,450,500
2,4,28,28,500,500
2,4,25,25,560,570
2,5,57,23,650,400
2,5,62,36,750,790
2,4,34,30,660,600
2,4,36,30,600,600
2,4,24,33,760,620
2,5,61,31,620,700
1,3,21,28,580,720
2,4,30,35,420,680
2,3,22,32,720,610
2,3,20,26,400,690
2,3,22,34,690,770
2,3,22,34,690,770
2,5,43,32,780,550
2,5,26,24,540,530
1,5,36,32,650,720
1,2,22,23,420,320
1,0,17,35,800,800
1,0,16,24,800,800
2,0,17,30,600,600
1,0,16,26,800,800
2,5,58,26,740,700
2,0,16,30,700,700
1,0,17,34,760,745
2,1,18,19,500,500
2,4,23,23,570,630
2,5,27,31,725,465
2,4,27,28,675,500
1,4,28,32,580,800
2,4,35,25,350,350
1,5,22,26,500,600
2,3,18,31,720,650
2,5,27,34,700,760
1,5,33,31,540,720
2,1,17,30,700,700
1,5,40,36,700,750
2,5,57,32,603,695
1,5,43,33,590,680
2,3,19,29,640,670
2,5,40,25,620,540
2,4,37,30,500,500
2,5,38,34,500,500
1,2,26,32,800,800
1,2,26,29,700,680
1,3,20,25,540,640
2,5,40,32,600,600
1,4,23,33,700,680
1,4,38,35,600,600
2,0,17,26,650,650
1,3,21,24,460,580
1,4,33,23,700,400
2,4,22,35,800,750
2,1,17,27,750,678
1,5,42,28,600,530
2,3,20,27,600,600
1,5,57,28,650,675
2,5,33,32,640,630
2,3,22,34,740,560
2,5,58,27,550,575
1,3,20,31,630,650
2,3,22,17,600,500
2,3,24,25,350,350
2,4,25,36,700,700
1,3,24,29,650,610
2,2,55,30,600,NA
2,3,19,29,650,600
2,5,24,28,650,650
2,4,26,28,620,600
2,4,37,30,679,678
1,5,44,30,390,720
2,5,35,31,790,660
1,4,25,29,650,650
2,4,30,28,620,660
2,3,23,26,420,450
2,0,18,31,640,670
2,0,17,25,640,620
2,0,17,21,580,480
2,4,26,24,500,500
2,2,26,36,550,555
1,0,18,34,770,800
1,1,18,32,700,710
1,1,18,23,560,630
2,0,18,36,800,770
1,1,17,34,730,710
1,5,37,28,580,600
1,1,18,19,440,560
2,5,30,31,650,550
2,3,23,21,245,350
2,3,20,19,400,450
1,4,36,22,450,460
1,4,50,30,700,700
2,3,18,18,380,540
1,3,21,36,710,680
1,0,18,28,590,620
2,1,21,24,625,650
2,3,20,28,760,620
2,4,32,23,490,580
2,0,17,30,770,660
2,5,24,22,550,600
1,3,30,23,540,430
2,3,19,25,520,580
1,4,28,25,520,670
2,3,21,24,620,480
1,2,21,30,600,600
2,4,22,30,720,650
2,5,35,24,650,500
2,3,22,22,550,490
1,3,21,22,580,640
2,3,22,27,570,570
1,4,28,27,600,680
2,1,19,35,750,720
1,4,28,16,500,500
1,0,17,28,670,660
2,5,22,25,600,600
2,3,19,23,570,570
2,3,18,32,770,NA
1,3,18,25,625,650
2,0,17,28,550,550
2,3,23,35,200,200
2,3,21,28,640,690
2,3,20,24,600,460
2,3,28,27,445,525
2,3,22,30,650,675
2,3,19,34,750,700
1,3,30,35,600,700
1,1,18,33,780,650
2,1,18,19,500,500
2,5,30,25,590,570
2,2,43,35,600,600
2,3,23,26,430,430
2,3,20,24,620,540
2,4,50,20,600,300
2,4,40,30,500,500
1,4,26,32,700,700
1,3,26,30,690,760
1,0,17,29,700,770
2,5,31,28,500,600
2,3,20,23,650,500
2,3,31,36,700,500
1,2,55,25,550,700
2,3,19,29,690,700
2,3,19,20,475,475
2,3,25,32,600,400
2,3,30,24,640,750
2,2,19,30,600,600
1,1,18,33,780,650
2,3,22,21,600,480
2,3,23,20,330,520
1,2,25,32,740,720
1,2,22,30,300,300
1,3,20,31,560,780
1,3,20,25,660,520
1,1,18,18,300,400
2,1,18,25,540,550
2,3,21,26,450,450
2,4,25,29,660,680
1,4,26,33,660,800
1,3,20,31,750,725
1,4,34,25,430,540
2,4,22,27,720,690
2,3,20,36,760,730
2,4,24,32,680,640
2,5,35,32,640,700
2,2,34,26,680,540
2,4,24,23,500,540
2,5,36,34,600,610
1,4,27,27,640,640
2,3,21,30,710,650
2,4,45,30,750,420
1,4,57,28,550,600
2,3,19,25,500,500
1,3,19,20,480,480
2,2,26,26,600,640
2,3,18,33,800,770
2,5,25,23,480,450
2,3,20,33,750,740
1,5,36,25,500,510
2,3,19,27,700,650
1,5,37,26,530,600
2,0,16,28,700,700
2,0,16,28,600,700
1,0,16,35,700,750
